REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW9049102	RETAIL PHARMACY	WALTER J LEWIT DRUG INC	null	124 SPRUCE ST	null	NEWARK	NJ	7108	ESSEX	S	9143	00406051205	OXYCODONE	2.0	null	null	06X000012	null	0000	12202006	4.4825	1000.0	6369	OXYCODONE HCL/ACETAMINOPHEN 5MG/325M	OXYCODONE HYDROCHLORIDE	TAB	1.5	SpecGx LLC	Mallinckrodt	Bellco Drug Corp	5.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	AW9049102	RETAIL PHARMACY	WALTER J LEWIT DRUG INC	null	124 SPRUCE ST	null	NEWARK	NJ	7108	ESSEX	S	9143	60951071270	OXYCODONE	1.0	null	null	06X000013	null	0000	01032007	0.8965	100.0	961	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB6653186	RETAIL PHARMACY	BERGEN PHARMACY	null	90 BERGEN STREET	SUITE 1600	NEWARK	NJ	7103	ESSEX	S	9143	60951071270	OXYCODONE	12.0	null	null	056819062	null	0000	01262006	10.758	1200.0	8410	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB6653186	RETAIL PHARMACY	BERGEN PHARMACY	null	90 BERGEN STREET	SUITE 1600	NEWARK	NJ	7103	ESSEX	S	9193	00603388328	HYDROCODONE	1.0	null	null	null	null	0000	06152006	2.27025	500.0	4245	HYDROCOD.BIT 7.5 TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB6653186	RETAIL PHARMACY	BERGEN PHARMACY	null	90 BERGEN STREET	SUITE 1600	NEWARK	NJ	7103	ESSEX	S	9143	00591350201	OXYCODONE	6.0	null	null	061284555	null	0000	09142006	10.758	600.0	4032	OXYCODONE HYDROCHLORIDE CR 20MG TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Purdue Pharma LP	Bellco Drug Corp	20.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB6653186	RETAIL PHARMACY	BERGEN PHARMACY	null	90 BERGEN STREET	SUITE 1600	NEWARK	NJ	7103	ESSEX	S	9193	00603388128	HYDROCODONE	3.0	null	null	null	null	0000	02092007	4.5405	1500.0	3106	HYDROCODONE.BIT. & ACETA  5MG & 500M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	5.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB6653186	RETAIL PHARMACY	BERGEN PHARMACY	null	90 BERGEN STREET	SUITE 1600	NEWARK	NJ	7103	ESSEX	S	9143	00591350401	OXYCODONE	3.0	null	I	071157761	null	0000	03142007	21.516	300.0	5043	OXYCODONE HCL 80MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	80.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB7449829	RETAIL PHARMACY	BERGEN PHARMACY	null	178-180 LYONS AVE.	null	NEWARK	NJ	7112	ESSEX	S	9143	00591350201	OXYCODONE	1.0	null	null	060305794	null	0000	11022006	1.7930000000000001	100.0	607	OXYCODONE HYDROCHLORIDE CR 20MG TABL	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Purdue Pharma LP	Bellco Drug Corp	20.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB7449829	RETAIL PHARMACY	BERGEN PHARMACY	null	178-180 LYONS AVE.	null	NEWARK	NJ	7112	ESSEX	S	9193	00406035705	HYDROCODONE	1.0	null	null	null	null	0000	02212007	1.5135	500.0	6574	HYDROCODONE BIT/ACETAMINOPHEN 5MG/50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	SpecGx LLC	Mallinckrodt	Bellco Drug Corp	5.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB8798110	RETAIL PHARMACY	BERGEN POINT PHARMACY	null	110 WEST 4TH STREET	null	BAYONNE	NJ	7002	HUDSON	S	9143	63481062970	OXYCODONE	1.0	null	null	056610709	null	0000	06132006	0.8965	100.0	3725	PERCOCET TABLETS 10MG OXYCODONE HCL/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB8798110	RETAIL PHARMACY	BERGEN POINT PHARMACY	null	110 WEST 4TH STREET	null	BAYONNE	NJ	7002	HUDSON	S	9143	60951071270	OXYCODONE	4.0	null	null	07X000078	null	0000	04272007	3.5860000000000003	400.0	9681	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB8948549	RETAIL PHARMACY	BERGEN PHARMACY	null	194 CLINTON AVENUE	null	NEWARK	NJ	7108	ESSEX	S	9143	00591350301	OXYCODONE	3.0	null	null	062152673	null	0000	09292006	10.758	300.0	8784	OXYCODONE HCL 40MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	40.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB9609225	RETAIL PHARMACY	BORO HALL HEALTHCARE INC	null	565 BOUND BROOK ROAD	null	MIDDLESEX	NJ	8846	MIDDLESEX	S	9193	00603389721	HYDROCODONE	1.0	null	null	null	null	0000	01162007	0.136215	30.0	5292	HYDROCODONE BIT/IBUPROFEN 7.5MG/200M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BB9642528	RETAIL PHARMACY	HEIGHTS SPECIALTY PHARMACY	null	450 BOULEVARD	null	HASBROUCK HEIGHTS	NJ	7604	BERGEN	S	9193	00093516101	HYDROCODONE	1.0	null	null	null	null	0000	06162006	0.45405	100.0	4435	HYDROCODONE BIT./IBUPROFEN;7.5MG & 2	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Teva Pharmaceuticals USA, Inc.	Teva	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC1013565	RETAIL PHARMACY	FENNY PHARMACY	FENNYPHARMACY	129  NEWARK AVE	null	JERSEY CITY	NJ	7302	HUDSON	S	9193	00603388528	HYDROCODONE	1.0	null	null	null	null	0000	04262006	3.0269999999999997	500.0	6728	HYDROCODO.BIT 10MG&AC TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC1013565	RETAIL PHARMACY	FENNY PHARMACY	FENNYPHARMACY	129  NEWARK AVE	null	JERSEY CITY	NJ	7302	HUDSON	S	9193	00603388328	HYDROCODONE	1.0	null	null	null	null	0000	08162006	2.27025	500.0	4132	HYDROCOD.BIT 7.5 TAB	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC1013565	RETAIL PHARMACY	FENNY PHARMACY	FENNYPHARMACY	129  NEWARK AVE	null	JERSEY CITY	NJ	7302	HUDSON	S	9193	00591034901	HYDROCODONE	1.0	null	null	null	null	0000	09082006	0.3027	100.0	2146	HYDROCODONE BIT 5MG/ACETAMINOPHEN 50	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	5.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC9023588	RETAIL PHARMACY	CAVALLO'S SURGICALS PHARMACY DEPT.	null	198 HARRISON AVENUE	null	GARFIELD	NJ	7026	BERGEN	S	9143	00093003301	OXYCODONE	3.0	null	I	057171426	null	0000	02202006	21.516	300.0	5152	OXYCODONE HYDROCHLORIDE - ER - 80MG/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Teva Pharmaceuticals USA, Inc.	Teva	Bellco Drug Corp	80.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC9023588	RETAIL PHARMACY	CAVALLO'S SURGICALS PHARMACY DEPT.	null	198 HARRISON AVENUE	null	GARFIELD	NJ	7026	BERGEN	S	9143	60951079670	OXYCODONE	2.0	null	null	057171442	null	0000	04102006	1.34475	200.0	2651	ENDOCET TABS;7.5MG OXYCODONE.HCL & 5	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC9023588	RETAIL PHARMACY	CAVALLO'S SURGICALS PHARMACY DEPT.	null	198 HARRISON AVENUE	null	GARFIELD	NJ	7026	BERGEN	S	9143	60951071270	OXYCODONE	4.0	null	null	063160162	null	0000	11012006	3.5860000000000003	400.0	340	ENDOCET - 10MG OXYCODONE.HCL/325MG A	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC9920061	RETAIL PHARMACY	COLONIA NATURAL PHARMACY	null	515 INMAN AVENUE	null	COLONIA	NJ	7067	MIDDLESEX	S	9143	63481062970	OXYCODONE	4.0	null	null	07X000021	null	0000	02222007	3.5860000000000003	400.0	7307	PERCOCET TABLETS 10MG OXYCODONE HCL/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BC9920061	RETAIL PHARMACY	COLONIA NATURAL PHARMACY	null	515 INMAN AVENUE	null	COLONIA	NJ	7067	MIDDLESEX	S	9143	59011010310	OXYCODONE	2.0	null	null	07X000076	null	0000	04302007	3.5860000000000003	200.0	10280	OXYCONTIN (OXYCODONE.HCL) CONTROLLED	OXYCODONE HYDROCHLORIDE	TAB	1.5	Purdue Pharma LP	Purdue Pharma LP	Bellco Drug Corp	20.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BD2926218	RETAIL PHARMACY	DORSI'S PHARMACY	null	184 CENTRAL AVENUE	null	STIRLING	NJ	7980	MORRIS	S	9193	00603388721	HYDROCODONE	1.0	null	null	null	null	0000	10232006	0.6054	100.0	7083	HYDROCODONE.BIT./ACET.,10MG & 325MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BD2926218	RETAIL PHARMACY	DORSI'S PHARMACY	null	184 CENTRAL AVENUE	null	STIRLING	NJ	7980	MORRIS	S	9143	00591350401	OXYCODONE	2.0	null	null	052340484	null	0000	10252006	14.344000000000001	200.0	7920	OXYCODONE HCL 80MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	80.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BD2926218	RETAIL PHARMACY	DORSI'S PHARMACY	null	184 CENTRAL AVENUE	null	STIRLING	NJ	7980	MORRIS	S	9143	00591350301	OXYCODONE	1.0	null	null	052320564	null	0000	12122006	3.5860000000000003	100.0	3712	OXYCODONE HCL 40MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	40.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BD2926218	RETAIL PHARMACY	DORSI'S PHARMACY	null	184 CENTRAL AVENUE	null	STIRLING	NJ	7980	MORRIS	S	9143	00591350401	OXYCODONE	1.0	null	null	052320560	null	0000	01182007	7.172000000000001	100.0	6188	OXYCODONE HCL 80MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	80.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BG2269620	RETAIL PHARMACY	GRAYROCK PHARMACY	null	1802 RT 31, STE #6	null	CLINTON	NJ	8809	HUNTERDON	S	9193	00603388532	HYDROCODONE	1.0	null	null	null	null	0000	02162007	6.053999999999999	1000.0	5389	HYDROCODO.BIT 10MG & ACETA TABLET	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BI8182797	RETAIL PHARMACY	INMAN RX DRUGS	null	976-5 INMAN AVENUE	null	EDISON	NJ	8820	MIDDLESEX	S	9143	63481062970	OXYCODONE	2.0	null	I	056610879	null	0000	02022006	1.7930000000000001	200.0	741	PERCOCET TABLETS 10MG OXYCODONE HCL/	OXYCODONE HYDROCHLORIDE	TAB	1.5	Endo Pharmaceuticals, Inc.	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BI8182797	RETAIL PHARMACY	INMAN RX DRUGS	null	976-5 INMAN AVENUE	null	EDISON	NJ	8820	MIDDLESEX	S	9143	00054465029	OXYCODONE	1.0	null	null	056610875	null	0000	04032006	2.24125	500.0	128	ROXICET - OXYCODONE.HCL & ACETA 5MG/	OXYCODONE HYDROCHLORIDE	TAB	1.5	West-Ward Pharmaceuticals Corp.	West-Ward Pharmaceuticals Corp.	Bellco Drug Corp	5.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BI8182797	RETAIL PHARMACY	INMAN RX DRUGS	null	976-5 INMAN AVENUE	null	EDISON	NJ	8820	MIDDLESEX	S	9143	60951070070	OXYCODONE	2.0	null	null	056610851	null	0000	09122006	1.34475	200.0	3417	ENDOCET - 7.5MG OXYCODONE.HCL/325MG	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	7.5
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BI8182797	RETAIL PHARMACY	INMAN RX DRUGS	null	976-5 INMAN AVENUE	null	EDISON	NJ	8820	MIDDLESEX	S	9193	00603388621	HYDROCODONE	2.0	null	null	null	null	0000	09142006	1.2108	200.0	4093	HYDROCODONE BITARTRATE AND ACETA 10M	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1.0	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BI8182797	RETAIL PHARMACY	INMAN RX DRUGS	null	976-5 INMAN AVENUE	null	EDISON	NJ	8820	MIDDLESEX	S	9143	00591350301	OXYCODONE	2.0	null	null	070601288	null	0000	02272007	7.172000000000001	200.0	8593	OXYCODONE HCL 40MG TABS	OXYCODONE HYDROCHLORIDE	TAB	1.5	Actavis Pharma, Inc.	Allergan, Inc.	Bellco Drug Corp	40.0
PB0034861	DISTRIBUTOR	BELLCO DRUG CORP	null	5500 NEW HORIZONS BLVD	null	NORTH AMITYVILLE	NY	11701	SUFFOLK	BI8182797	RETAIL PHARMACY	INMAN RX DRUGS	null	976-5 INMAN AVENUE	null	EDISON	NJ	8820	MIDDLESEX	S	9143	60951079770	OXYCODONE	3.0	null	null	070601288	null	0000	02272007	2.6895	300.0	8812	ENDOCET TABS - 10MG OXYCODONE.HCL &	OXYCODONE HYDROCHLORIDE	TAB	1.5	Par Pharmaceutical	Endo Pharmaceuticals, Inc.	Bellco Drug Corp	10.0
